sample_id,label,max_abs,final_abs,mean_abs,std_response,zero_crossings
underdamped-000,underdamped,1.0,4.677168255779309e-11,0.05574396300203184,0.189767776480532,7
underdamped-001,underdamped,1.0,6.8776521647422e-07,0.06141409945248556,0.18814242567458292,9
underdamped-002,underdamped,1.0,1.0353704566006116e-11,0.05741533240693293,0.19188054272503452,6
underdamped-003,underdamped,1.0,6.179427949051024e-10,0.05527925292176341,0.1882110254804398,7
underdamped-004,underdamped,1.0,0.0063613395207273,0.134387024425765,0.24323453332922698,10
underdamped-005,underdamped,1.0,7.947994114277926e-13,0.0616183234644558,0.19523202270012052,4
underdamped-006,underdamped,1.0,1.2454976571247138e-10,0.05563487353211266,0.18948000648299299,7
underdamped-007,underdamped,1.0,1.2064635044422108e-12,0.05593867348996983,0.19004834506099041,6
underdamped-008,underdamped,1.0,0.0023683979649657,0.11634012847058049,0.22901324458665445,10
underdamped-009,underdamped,1.0,4.584494702413217e-07,0.060871580122578546,0.18786024125593684,9
underdamped-010,underdamped,1.0,4.192479162548736e-06,0.066300166597602,0.1907459945162986,9
underdamped-011,underdamped,1.0,2.60232313387284e-12,0.0595907479993906,0.19378689167773275,5
underdamped-012,underdamped,1.0,1.9714763557508863e-09,0.05538979406892135,0.18740519816237514,8
underdamped-013,underdamped,1.0,3.6796484372587317e-11,0.05656979413256192,0.19094541976170493,6
underdamped-014,underdamped,1.0,5.890204120384551e-07,0.0611987794050116,0.18802646795774508,9
underdamped-015,underdamped,1.0,6.443084587824068e-05,0.08526340312452874,0.204774069408969,10
underdamped-016,underdamped,1.0,2.6861562343407673e-08,0.056806127467199374,0.18679733313108007,8
underdamped-017,underdamped,1.0,0.0148235183090326,0.15625035950431074,0.26059847734453817,10
underdamped-018,underdamped,1.0,3.4278572164143026e-11,0.05668594145377338,0.19106929340393525,6
underdamped-019,underdamped,1.0,3.763632398850549e-09,0.05555996033753227,0.1872619873684282,8
underdamped-020,underdamped,1.0,1.473140551563938e-10,0.055609062525495224,0.1894129398330777,7
underdamped-021,underdamped,1.0,5.738160109332249e-06,0.06776781165332632,0.19165315425884935,9
underdamped-022,underdamped,1.0,8.969509770364418e-13,0.061395527296528314,0.19508395852445798,4
underdamped-023,underdamped,1.0,4.058794363011371e-12,0.058431719906555275,0.192827559856879,5
underdamped-024,underdamped,1.0,2.6530170866833582e-11,0.055803656766600505,0.18986941506307667,7
underdamped-025,underdamped,1.0,0.0002625196084059,0.09286783058857637,0.21075203764800265,10
underdamped-026,underdamped,1.0,2.3618193203303337e-07,0.06012274337290499,0.18752493276561172,9
underdamped-027,underdamped,1.0,0.0255544418337745,0.17533136366352509,0.27558421606773553,10
underdamped-028,underdamped,1.0,0.0010543764274292,0.10552911373404873,0.2206188251407545,10
underdamped-029,underdamped,1.0,4.781076110070894e-10,0.05529757398659006,0.18796925774362533,7
underdamped-030,underdamped,1.0,2.636123340771133e-10,0.055489328374968096,0.18912700858891374,7
underdamped-031,underdamped,1.0,9.415832013703953e-13,0.06125694922810372,0.19498835921099658,4
underdamped-032,underdamped,1.0,8.757969159485387e-06,0.07062778284425278,0.19358821518673616,9
underdamped-033,underdamped,1.0,4.22187916264676e-06,0.06632931482651937,0.1907635813287241,9
underdamped-034,underdamped,1.0,2.0749230357436005e-07,0.05999541788725094,0.18747411582687537,9
underdamped-035,underdamped,1.0,0.000318209510556,0.0942774595034492,0.21184597394177992,10
underdamped-036,underdamped,1.0,0.0022431504740644,0.11551770762855867,0.22837099399886507,10
